First_name,Surname,Scholar_ID,Group
Philip,McGowan,_NdzLicAAAAJ,MEP
Giles,Budge,ujbju80AAAAJ,MEP
Roy,Sanderson,z6jaMRcAAAAJ,MEP
Khunsa,Fatima,NVBSg9gAAAAJ,MEP
William,Reid,oAjiq3QAAAAJ,MEP
Tom,Chudley,5ydGTN0AAAAJ,MEP
Louise,Mair,UeMGAaAAAAAJ,MEP
Ellen,Moss,WqH63QAAAAJ,MEP
Steve,Rushton,dH4219oAAAAJ,MEP
Mark,Shirley,2Kcd0zoAAAAJ,MEP
Zarah,Pattison,4zjd8H8AAAAJ,MEP
Sergio, Guerreiro Milheiras,akdJAsEAAAAJ,MEP
Nicola,Simcock,GjSCPJ0AAAAJ,MEP
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
DUPLICATES,,,
